Lens ID,Publication Year
002-020-707-108-092,2013
002-027-240-463-040,2015
002-034-977-691-270,2014
002-042-443-141-047,2020
002-044-611-571-505,2015
002-065-417-998-305,2019
002-068-628-930-056,2015
002-070-697-669-966,2019
002-072-443-737-817,2017
002-082-657-361-519,2017
002-101-984-142-728,2011
002-129-415-257-650,2020
002-137-026-946-137,2018
002-137-872-712-647,2017
002-196-135-610-640,2018
002-200-634-437-634,2007
002-205-314-291-747,2013
002-207-271-331-321,2019
002-207-791-337-081,2015
002-230-244-844-119,2018
002-244-201-763-754,2020
002-263-799-933-562,2015
002-288-279-318-612,2019
002-296-102-423-599,2021
002-299-285-007-646,2014
002-301-591-881-26X,2017
002-305-785-132-003,2013
002-305-933-299-551,2021
002-311-010-777-202,2016
002-321-940-923-201,2016
002-330-356-609-533,2020
002-338-583-982-270,2011
002-339-204-057-160,2014
002-343-047-285-291,2015
002-345-603-124-616,2020
002-362-886-591-410,2019
002-376-455-666-377,2021
002-390-754-046-347,2021
002-393-982-120-629,2011
002-409-295-976-509,2020
002-411-373-711-825,2021
002-465-773-371-018,2015
002-488-313-754-175,2018
002-490-687-741-662,2015
002-493-679-763-654,2020
002-500-800-218-31X,
002-501-560-211-243,2011
002-506-895-322-677,2020
002-510-824-167-077,2013
002-521-721-042-785,2017
002-521-973-371-550,2021
002-524-313-843-894,2016
002-529-728-213-934,2013
002-534-855-263-818,2016
002-536-136-512-960,2018
002-537-972-318-666,2015
002-555-152-516-033,2012
002-555-731-197-41X,2015
002-588-169-202-680,2020
002-592-690-930-883,2016
002-595-147-873-972,2009
002-595-923-246-913,2019
002-598-449-089-116,2005
002-599-959-977-10X,2011
002-607-302-579-403,2019
002-613-865-596-849,2020
002-626-404-959-849,2021
002-627-287-777-169,2018
002-643-338-080-143,2014
002-649-165-986-867,2021
002-654-654-989-66X,2019
002-678-177-482-060,2013
002-681-897-385-725,2016
002-682-144-788-217,2020
002-683-353-837-198,2019
002-684-287-021-979,2011
002-733-197-329-476,2020
002-745-560-448-727,2011
002-760-901-141-199,2020
002-767-867-228-857,2019
002-768-390-458-624,2017
002-770-340-964-871,2013
002-808-546-507-650,2012
002-814-343-891-93X,2020
002-825-697-221-873,2021
002-837-403-745-961,2017
002-857-762-919-829,2021
002-879-063-725-862,2013
002-879-144-380-069,2014
002-884-847-872-111,2016
002-887-657-308-900,2020
002-893-435-853-664,2014
002-893-992-566-326,2016
002-898-136-693-843,2016
002-901-926-777-894,2012
002-917-620-623-813,2020
002-927-911-910-168,2011
002-936-204-101-366,2021
002-936-414-648-247,2021
002-941-020-743-205,2019
002-948-725-377-964,2018
002-950-879-667-617,2015
002-961-671-635-433,2015
002-963-945-629-989,2020
002-972-645-606-915,2018
002-992-834-099-201,2020
003-007-187-842-268,2020
003-010-795-153-308,2017
003-012-536-680-663,2012
003-030-245-017-457,2020
003-033-104-143-453,2017
003-035-454-772-777,2019
003-040-072-026-185,2016
003-044-914-517-043,2015
003-045-510-290-262,2020
003-047-020-363-325,2018
